date,timestamp,price,market_cap,est_supply,est_mcap
2021-02-11,1613001600,5.506,0,469502762.4309392,2585082209.9447513
2021-02-12,1613088000,5.735,0,469149171.2707182,2690570497.2375693
2021-02-13,1613174400,5.61,0,468795580.11049724,2629943204.4198895
2021-02-14,1613260800,5.644,0,468441988.95027626,2643886585.6353593
2021-02-15,1613347200,5.45,0,468088397.7900553,2551081767.9558015
2021-02-16,1613433600,6.517,0,467734806.62983423,3048227734.8066297
2021-02-17,1613520000,7.291,0,467381215.46961325,3407676441.9889503
2021-02-18,1613606400,6.691,0,467027624.3093923,3124881834.2541437
2021-02-19,1613692800,6.315,0,466674033.1491713,2947046519.337017
2021-02-20,1613779200,5.942,0,466320441.98895025,2770876066.2983427
2021-02-21,1613865600,6.126,0,465966850.8287293,2854512928.1767955
2021-02-22,1613952000,7.063,0,465613259.6685083,3288626453.038674
2021-02-23,1614038400,6.728,0,465259668.5082873,3130267049.723757
2021-02-24,1614124800,6.685,0,464906077.3480663,3107897127.0718226
2021-02-25,1614211200,5.98,0,464552486.1878453,2778023867.403315
2021-02-26,1614297600,5.883,0,464198895.0276243,2730882099.4475136
2021-02-27,1614384000,5.917,0,463845303.8674033,2744572662.9834256
2021-02-28,1614470400,5.368,0,463491712.7071823,2488023513.812155
2021-03-01,1614556800,6.745,0,463138121.5469613,3123866629.8342543
2021-03-02,1614643200,6.48,0,462784530.3867403,2998843756.9060774
2021-03-03,1614729600,7.201,0,462430939.22651935,3329965193.370166
2021-03-04,1614816000,7.487,0,462077348.06629837,3459573104.972376
2021-03-05,1614902400,8.463,0,461723756.9060773,3907568154.696132
2021-03-06,1614988800,8.243,0,461370165.74585634,3803074276.243094
2021-03-07,1615075200,8.236,0,461016574.58563536,3796932508.287293
2021-03-08,1615161600,9.674,0,460662983.4254144,4456453701.657458
2021-03-09,1615248000,11.69,0,460309392.26519334,5381016795.58011
2021-03-10,1615334400,11.12,0,459955801.10497236,5114708508.2872925
2021-03-11,1615420800,10.82,0,459602209.9447514,4972895911.60221
2021-03-12,1615507200,14.13,0,459248618.7845304,6489182983.425415
2021-03-13,1615593600,14.59,0,458895027.6243094,6695278453.038674
2021-03-14,1615680000,15.81,0,458541436.4640884,7249540110.497237
2021-03-15,1615766400,16.3,0,458187845.3038674,7468461878.453039
2021-03-16,1615852800,19.91,0,457834254.1436464,9115480000.0
2021-03-17,1615939200,18.52,0,457480662.98342544,8472541878.453039
2021-03-18,1616025600,18.94,0,457127071.8232044,8657986740.331491
2021-03-19,1616112000,19.88,0,456773480.6629834,9080656795.58011
2021-03-20,1616198400,20.84,0,456419889.50276244,9511790497.23757
2021-03-21,1616284800,21.93,0,456066298.34254146,10001533922.651934
2021-03-22,1616371200,19.32,0,455712707.1823204,8804369502.76243
2021-03-23,1616457600,16.94,0,455359116.02209944,7713783425.414365
2021-03-24,1616544000,16.54,0,455005524.86187845,7525791381.215469
2021-03-25,1616630400,16.38,0,454651933.7016575,7447198674.033149
2021-03-26,1616716800,18.45,0,454298342.54143643,8381804419.889502
2021-03-27,1616803200,18.66,0,453944751.38121545,8470609060.77348
2021-03-28,1616889600,18.53,0,453591160.2209945,8405044198.895028
2021-03-29,1616976000,18.84,0,453237569.0607735,8538995801.104973
2021-03-30,1617062400,18.61,0,452883977.9005525,8428170828.729282
2021-03-31,1617148800,18.65,0,452530386.7403315,8439691712.707181
2021-04-01,1617235200,18.38,0,452176795.5801105,8311009502.76243
2021-04-02,1617321600,18.47,0,451823204.4198895,8345174585.635359
2021-04-03,1617408000,18.01,0,451469613.2596685,8130967734.806631
2021-04-04,1617494400,18.18,0,451116022.0994475,8201289281.767955
2021-04-05,1617580800,17.56,0,450762430.9392265,7915388287.292817
2021-04-06,1617667200,16.72,0,450408839.7790055,7530835801.104972
2021-04-07,1617753600,15.45,0,450055248.61878455,6953353591.160221
2021-04-08,1617840000,15.76,0,449701657.45856357,7087298121.546962
2021-04-09,1617926400,15.66,0,449348066.2983425,7036790718.232044
2021-04-10,1618012800,15.48,0,448994475.13812155,6950434475.138122
2021-04-11,1618099200,15.1,0,448640883.97790056,6774477348.0662985
2021-04-12,1618185600,14.63,0,448287292.8176795,6558443093.922652
2021-04-13,1618272000,15.63,0,447933701.65745854,7001203756.906077
2021-04-14,1618358400,15.27,0,447580110.49723756,6834548287.292817
2021-04-15,1618444800,16.87,0,447226519.3370166,7544711381.21547
2021-04-16,1618531200,15.77,0,446872928.1767956,7047186077.348066
2021-04-17,1618617600,15.21,0,446519337.0165746,6791559116.0221
2021-04-18,1618704000,13.4,0,446165745.8563536,5978620994.475138
2021-04-19,1618790400,13.88,0,445812154.6961326,6187872707.182321
2021-04-20,1618876800,13.45,0,445458563.5359116,5991417679.558011
2021-04-21,1618963200,13.26,0,445104972.3756906,5902091933.701657
2021-04-22,1619049600,13.64,0,444751381.2154696,6066408839.779006
2021-04-23,1619136000,14.11,0,444397790.0552486,6270452817.679558
2021-04-24,1619222400,15.61,0,444044198.89502764,6931529944.751381
2021-04-25,1619308800,17.72,0,443690607.73480666,7862197569.060774
2021-04-26,1619395200,17.64,0,443337016.5745856,7820464972.37569
2021-04-27,1619481600,17.72,0,442983425.41436464,7849666298.342541
2021-04-28,1619568000,16.83,0,442629834.25414366,7449460110.497237
2021-04-29,1619654400,16.26,0,442276243.0939227,7191411712.707184
2021-04-30,1619740800,16.7,0,441922651.93370163,7380108287.292817
