date,timestamp,price,market_cap
2021-09-16,1631750400,37.47,0
2021-09-17,1631836800,34.45,0
2021-09-18,1631923200,34.81,0
2021-09-19,1632009600,32.94,0
2021-09-20,1632096000,27.5,0
2021-09-21,1632182400,25.13,0
2021-09-22,1632268800,33.23,0
2021-09-23,1632355200,36.21,0
2021-09-24,1632441600,40.2,0
2021-09-25,1632528000,37.87,0
2021-09-26,1632614400,34.72,0
2021-09-27,1632700800,36.86,0
2021-09-28,1632787200,33.17,0
2021-09-29,1632873600,34.18,0
2021-09-30,1632960000,38.88,0
2021-10-01,1633046400,37.81,0
2021-10-02,1633132800,41.59,0
2021-10-03,1633219200,42.73,0
2021-10-04,1633305600,46.81,0
2021-10-05,1633392000,44.73,0
2021-10-06,1633478400,42.05,0
2021-10-07,1633564800,46.46,0
2021-10-08,1633651200,43.3,0
2021-10-09,1633737600,42.47,0
2021-10-10,1633824000,39.37,0
2021-10-11,1633910400,39.17,0
2021-10-12,1633996800,37.58,0
2021-10-13,1634083200,36.61,0
2021-10-14,1634169600,37.14,0
2021-10-15,1634256000,36.99,0
2021-10-16,1634342400,36.61,0
2021-10-17,1634428800,36.15,0
2021-10-18,1634515200,35.81,0
2021-10-19,1634601600,37.74,0
2021-10-20,1634688000,42.58,0
2021-10-21,1634774400,40.96,0
2021-10-22,1634860800,43.7,0
2021-10-23,1634947200,43.14,0
2021-10-24,1635033600,41.44,0
2021-10-25,1635120000,42.83,0
2021-10-26,1635206400,43.82,0
2021-10-27,1635292800,39.89,0
2021-10-28,1635379200,42.96,0
2021-10-29,1635465600,45.66,0
2021-10-30,1635552000,43.3,0
2021-10-31,1635638400,43.03,0
2021-11-01,1635724800,44.1,0
2021-11-02,1635811200,44.79,0
2021-11-03,1635897600,48.02,0
2021-11-04,1635984000,52.02,0
2021-11-05,1636070400,49.93,0
2021-11-06,1636156800,51.19,0
2021-11-07,1636243200,50.57,0
2021-11-08,1636329600,54.17,0
2021-11-09,1636416000,50.22,0
2021-11-10,1636502400,48.79,0
2021-11-11,1636588800,50.49,0
2021-11-12,1636675200,49.62,0
2021-11-13,1636761600,52.09,0
2021-11-14,1636848000,51.1,0
2021-11-15,1636934400,48.16,0
2021-11-16,1637020800,43.27,0
2021-11-17,1637107200,43.26,0
2021-11-18,1637193600,40.23,0
2021-11-19,1637280000,42.45,0
2021-11-20,1637366400,45.23,0
2021-11-21,1637452800,43.57,0
2021-11-22,1637539200,41.12,0
2021-11-23,1637625600,42.75,0
2021-11-24,1637712000,38.58,0
2021-11-25,1637798400,43.59,0
2021-11-26,1637884800,41.07,0
2021-11-27,1637971200,43.91,0
2021-11-28,1638057600,50.18,0
2021-11-29,1638144000,51.69,0
2021-11-30,1638230400,59.64,0
2021-12-01,1638316800,63.98,0
2021-12-02,1638403200,66.37,0
2021-12-03,1638489600,63.54,0
2021-12-04,1638576000,75.24,0
2021-12-05,1638662400,68.25,0
2021-12-06,1638748800,67.06,0
2021-12-07,1638835200,68.86,0
2021-12-08,1638921600,75.21,0
2021-12-09,1639008000,66.55,0
2021-12-10,1639094400,60.94,0
2021-12-11,1639180800,60.23,0
2021-12-12,1639267200,62.05,0
2021-12-13,1639353600,52.9,0
2021-12-14,1639440000,60.2,0
2021-12-15,1639526400,61.64,0
2021-12-16,1639612800,64.29,0
2021-12-17,1639699200,65.65,0
2021-12-18,1639785600,74.14,0
2021-12-19,1639872000,78.12,0
2021-12-20,1639958400,82.05,0
2021-12-21,1640044800,87.37,0
2021-12-22,1640131200,85.42,0
2021-12-23,1640217600,94.24,0
2021-12-24,1640304000,95.88,0
2021-12-25,1640390400,98.34,0
2021-12-26,1640476800,99.65,0
2021-12-27,1640563200,90.93,0
2021-12-28,1640649600,85.19,0
2021-12-29,1640736000,84.16,0
2021-12-30,1640822400,84.71,0
2021-12-31,1640908800,85.48,0
2022-01-01,1640995200,91.66,0
2022-01-02,1641081600,89.49,0
2022-01-03,1641168000,88.91,0
2022-01-04,1641254400,84.55,0
2022-01-05,1641340800,78.44,0
2022-01-06,1641427200,78.4,0
2022-01-07,1641513600,68.73,0
2022-01-08,1641600000,66.8,0
2022-01-09,1641686400,74.44,0
2022-01-10,1641772800,69.5,0
2022-01-11,1641859200,73.51,0
2022-01-12,1641945600,81.91,0
2022-01-13,1642032000,78.36,0
2022-01-14,1642118400,81.45,0
2022-01-15,1642204800,87.3,0
2022-01-16,1642291200,87.11,0
2022-01-17,1642377600,77.13,0
2022-01-18,1642464000,80.77,0
2022-01-19,1642550400,81.2,0
2022-01-20,1642636800,77.37,0
2022-01-21,1642723200,64.78,0
2022-01-22,1642809600,62.89,0
2022-01-23,1642896000,69.89,0
2022-01-24,1642982400,66.05,0
2022-01-25,1643068800,62.91,0
2022-01-26,1643155200,58.78,0
2022-01-27,1643241600,54.26,0
2022-01-28,1643328000,50.45,0
2022-01-29,1643414400,50.93,0
2022-01-30,1643500800,46.36,0
2022-01-31,1643587200,52.15,0
2022-02-01,1643673600,52.21,0
2022-02-02,1643760000,47.57,0
2022-02-03,1643846400,51.15,0
2022-02-04,1643932800,53.96,0
2022-02-05,1644019200,55.43,0
2022-02-06,1644105600,56.14,0
2022-02-07,1644192000,59.51,0
2022-02-08,1644278400,57.24,0
2022-02-09,1644364800,57.61,0
2022-02-10,1644451200,52.26,0
2022-02-11,1644537600,50.42,0
2022-02-12,1644624000,52.17,0
2022-02-13,1644710400,51.66,0
2022-02-14,1644796800,53.79,0
2022-02-15,1644883200,56.83,0
2022-02-16,1644969600,56.01,0
2022-02-17,1645056000,50.36,0
2022-02-18,1645142400,50.69,0
2022-02-19,1645228800,50.47,0
2022-02-20,1645315200,49.37,0
2022-02-21,1645401600,50.26,0
2022-02-22,1645488000,54.65,0
2022-02-23,1645574400,59.63,0
2022-02-24,1645660800,65.26,0
2022-02-25,1645747200,73.14,0
2022-02-26,1645833600,78.07,0
2022-02-27,1645920000,72.53,0
2022-02-28,1646006400,91.3,0
2022-03-01,1646092800,89.7,0
2022-03-02,1646179200,92.35,0
2022-03-03,1646265600,90.51,0
2022-03-04,1646352000,83.4,0
2022-03-05,1646438400,87.56,0
2022-03-06,1646524800,79.2,0
2022-03-07,1646611200,77.96,0
2022-03-08,1646697600,85.48,0
2022-03-09,1646784000,99.24,0
2022-03-10,1646870400,101.53,0
2022-03-11,1646956800,88.33,0
2022-03-12,1647043200,86.03,0
2022-03-13,1647129600,87.5,0
2022-03-14,1647216000,94.83,0
2022-03-15,1647302400,88.58,0
2022-03-16,1647388800,89.26,0
2022-03-17,1647475200,86.87,0
2022-03-18,1647561600,88.56,0
2022-03-19,1647648000,92.16,0
2022-03-20,1647734400,90.57,0
2022-03-21,1647820800,95.92,0
2022-03-22,1647907200,93.07,0
2022-03-23,1647993600,94.82,0
2022-03-24,1648080000,93.73,0
2022-03-25,1648166400,90.44,0
2022-03-26,1648252800,91.45,0
2022-03-27,1648339200,94.06,0
2022-03-28,1648425600,97.18,0
2022-03-29,1648512000,109.08,0
2022-03-30,1648598400,105.92,0
2022-03-31,1648684800,103.06,0
2022-04-01,1648771200,105.84,0
2022-04-02,1648857600,115.2,0
2022-04-03,1648944000,112.97,0
2022-04-04,1649030400,116.43,0
2022-04-05,1649116800,116.26,0
2022-04-06,1649203200,108.12,0
2022-04-07,1649289600,103.54,0
2022-04-08,1649376000,94.55,0
2022-04-09,1649462400,97.43,0
2022-04-10,1649548800,91.81,0
2022-04-11,1649635200,82.45,0
2022-04-12,1649721600,84.55,0
2022-04-13,1649808000,87.92,0
2022-04-14,1649894400,81.58,0
2022-04-15,1649980800,80.36,0
2022-04-16,1650067200,80.99,0
2022-04-17,1650153600,77.27,0
2022-04-18,1650240000,91.09,0
2022-04-19,1650326400,95.5,0
2022-04-20,1650412800,94.77,0
2022-04-21,1650499200,90.82,0
2022-04-22,1650585600,93.65,0
2022-04-23,1650672000,89.27,0
2022-04-24,1650758400,90.54,0
2022-04-25,1650844800,96.91,0
2022-04-26,1650931200,88.48,0
2022-04-27,1651017600,89.13,0
2022-04-28,1651104000,89.12,0
2022-04-29,1651190400,85.15,0
2022-04-30,1651276800,78.13,0
2022-05-01,1651363200,82.19,0
2022-05-02,1651449600,84.28,0
2022-05-03,1651536000,82.5,0
2022-05-04,1651622400,86.18,0
2022-05-05,1651708800,82.36,0
2022-05-06,1651795200,77.35,0
2022-05-07,1651881600,68.07,0
2022-05-08,1651968000,64.29,0
2022-05-09,1652054400,30.19,0
2022-05-10,1652140800,17.32,0
2022-05-11,1652227200,1.07,0
2022-05-12,1652313600,0.008864,0
2022-05-13,1652400000,0.0001191,0
2022-05-14,1652486400,0.0004479,0
2022-05-15,1652572800,0.0002143,0
2022-05-16,1652659200,0.0001936,0
2022-05-17,1652745600,0.0001865,0
2022-05-18,1652832000,0.000148,0
2022-05-19,1652918400,0.0001327,0
2022-05-20,1653004800,0.0001195,0
2022-05-21,1653091200,0.000124,0
2022-05-22,1653177600,0.0001901,0
2022-05-23,1653264000,0.0001594,0
2022-05-24,1653350400,0.0001765,0
2022-05-25,1653436800,0.0001824,0
2022-05-26,1653523200,0.0001337,0
2022-05-27,1653609600,0.0001219,0
2022-05-28,1653696000,9.191e-05,0
2022-05-29,1653782400,0.0001032,0
2022-05-30,1653868800,0.0001255,0
2022-05-31,1653955200,0.0001148,0
2022-06-01,1654041600,9.855e-05,0
