time,date,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1652176800,2022-05-10 10:00:00,29.04,30.33,28.19,28.88,721724.04,21211486.62,direct,
1652180400,2022-05-10 11:00:00,32.43,33.31,28.96,29.04,1009449.51,31693535.9,direct,
1652184000,2022-05-10 12:00:00,33.43,34.41,31.58,32.43,597528.18,19707359.4,direct,
1652187600,2022-05-10 13:00:00,31.6,34.45,30.81,33.43,578056.8,18766130.16,direct,
1652191200,2022-05-10 14:00:00,29.21,32.89,28.45,31.6,541456.46,16411564.46,direct,
1652194800,2022-05-10 15:00:00,31.39,32.95,27.6,29.21,1438137.08,43098630.59,direct,
1652198400,2022-05-10 16:00:00,29.95,32.38,29.61,31.39,1017066.09,31214176.23,direct,
1652202000,2022-05-10 17:00:00,30.92,32.02,29.63,29.95,969414.45,29903147.51,direct,
1652205600,2022-05-10 18:00:00,27.9,31.01,27.88,30.92,835885.31,24650542.27,direct,
1652209200,2022-05-10 19:00:00,24.75,28.2,23.63,27.9,1701184.96,42958957.41,direct,
1652212800,2022-05-10 20:00:00,22.57,25.01,22.1,24.75,1124112.53,26781365.51,direct,
1652216400,2022-05-10 21:00:00,15.32,23.08,14.53,22.57,1955546.95,35599618.11,direct,
1652220000,2022-05-10 22:00:00,15.28,18.49,13.19,15.32,3350643.19,51524498.36,direct,
1652223600,2022-05-10 23:00:00,17.32,18.16,14.67,15.28,2928016,49177535.11,direct,
1652227200,2022-05-11 00:00:00,16.8,19.5,16.42,17.32,2010860.14,36187523.53,direct,
1652230800,2022-05-11 01:00:00,14.37,17.07,14.02,16.8,2175326.87,34071580.25,direct,
1652234400,2022-05-11 02:00:00,15.28,15.89,12.77,14.37,3239430.86,47453738.56,direct,
1652238000,2022-05-11 03:00:00,13.45,15.78,13.05,15.28,3479432.68,47866263.29,direct,
1652241600,2022-05-11 04:00:00,10.39,13.99,10.25,13.45,5484665.27,64145016.52,direct,
1652245200,2022-05-11 05:00:00,9.135,12.35,8.609,10.39,7238823.37,72113114.68,direct,
1652248800,2022-05-11 06:00:00,5.762,9.428,5.646,9.135,12199785.2,90825968.26,direct,
1652252400,2022-05-11 07:00:00,4.359,6.674,3.326,5.762,19704906.94,88626951.35,direct,
1652256000,2022-05-11 08:00:00,4.92,6.347,4.251,4.359,16897291.58,83200070.35,direct,
1652259600,2022-05-11 09:00:00,3.853,4.92,3.232,4.92,15188074.48,59039036.58,direct,
1652263200,2022-05-11 10:00:00,2.253,4.587,2.086,3.853,29114881.6,84756251.8,direct,
1652266800,2022-05-11 11:00:00,1.399,2.33,1.342,2.253,26325870.94,43938780.48,direct,
1652270400,2022-05-11 12:00:00,0.6182,1.522,0.5967,1.399,35703474.14,36530195.92,direct,
1652274000,2022-05-11 13:00:00,2.31,2.682,0.5812,0.6182,65194090.77,95780712.26,direct,
1652277600,2022-05-11 14:00:00,3.193,5.864,2.31,2.31,44981021.84,150369631.79,direct,
1652281200,2022-05-11 15:00:00,2.314,3.242,1.882,3.193,45388917.22,107252606.78,direct,
1652284800,2022-05-11 16:00:00,2.236,2.598,1.952,2.314,29965844.35,66285554.95,direct,
1652288400,2022-05-11 17:00:00,1.773,2.31,1.458,2.236,30128077.48,55450413.44,direct,
1652292000,2022-05-11 18:00:00,1.326,1.85,1.206,1.773,23403083.87,36243974.46,direct,
1652295600,2022-05-11 19:00:00,1.194,1.367,1.039,1.326,45112689.73,53005936.15,direct,
1652299200,2022-05-11 20:00:00,1.022,1.345,0.9736,1.194,29447559.77,32729159.59,direct,
1652302800,2022-05-11 21:00:00,1.073,1.18,0.9493,1.022,34170021.12,35330879.84,direct,
1652306400,2022-05-11 22:00:00,1.072,1.485,0.9872,1.073,38072725.51,44356227.11,direct,
1652310000,2022-05-11 23:00:00,1.07,1.14,0.9843,1.072,26049196.51,27272371.66,direct,
1652313600,2022-05-12 00:00:00,1.103,1.351,1.03,1.07,35381544.01,39695455.96,direct,
1652317200,2022-05-12 01:00:00,0.8252,1.212,0.8252,1.103,24221361.11,25162034.39,direct,
1652320800,2022-05-12 02:00:00,0.5413,0.8702,0.5235,0.8252,70134681.45,46545395.33,direct,
1652324400,2022-05-12 03:00:00,0.3723,0.5415,0.3335,0.5413,102559883.85,42371038.25,direct,
1652328000,2022-05-12 04:00:00,0.271,0.4019,0.2441,0.3723,85804690.2,28293031.42,direct,
1652331600,2022-05-12 05:00:00,0.2732,0.3824,0.2021,0.271,95084228.26,24896314.42,direct,
1652335200,2022-05-12 06:00:00,0.1431,0.2732,0.1416,0.2732,123106147.66,24889409.47,direct,
1652338800,2022-05-12 07:00:00,0.1292,0.179,0.1089,0.1431,209707371.79,27380014.9,direct,
1652342400,2022-05-12 08:00:00,0.0665,0.1388,0.06455,0.1292,191126953.2,19027975.96,direct,
1652346000,2022-05-12 09:00:00,0.02068,0.06799,0.02003,0.0665,511412986.4,17412496.62,direct,
1652349600,2022-05-12 10:00:00,0.03863,0.05536,0.01329,0.02068,637131587.84,18893665.16,direct,
1652353200,2022-05-12 11:00:00,0.0267,0.07476,0.02629,0.03863,496779196.04,24221241.26,direct,
1652356800,2022-05-12 12:00:00,0.02043,0.0319,0.01854,0.0267,696788429.89,17268180.17,direct,
1652360400,2022-05-12 13:00:00,0.011,0.02622,0.01056,0.02043,941110207.33,13597353.81,direct,
1652364000,2022-05-12 14:00:00,0.003925,0.01818,0.003138,0.011,1531539336.01,9215975.08,direct,
1652367600,2022-05-12 15:00:00,0.003744,0.006874,0.003224,0.003925,2158425477.7,9792008.06,direct,
1652371200,2022-05-12 16:00:00,0.00948,0.01757,0.003599,0.003744,2565191222.33,23641043.45,direct,
1652374800,2022-05-12 17:00:00,0.0115,0.01241,0.007616,0.00948,947521635.75,9079023.72,direct,
1652378400,2022-05-12 18:00:00,0.01014,0.01348,0.00874,0.0115,778033815.41,7496668.8,direct,
1652382000,2022-05-12 19:00:00,0.01936,0.02194,0.00981,0.01014,833183437.38,11202928.44,direct,
1652385600,2022-05-12 20:00:00,0.01512,0.02692,0.01392,0.01936,1494015169.86,25833189.38,direct,
1652389200,2022-05-12 21:00:00,0.002855,0.01547,0.002624,0.01512,3971189823,20811772.22,direct,
1652392800,2022-05-12 22:00:00,0.01124,0.01484,0.001803,0.002855,7673326949.83,11997041.66,direct,
1652396400,2022-05-12 23:00:00,0.008864,0.01338,0.005395,0.01124,18271493049.57,7793030.26,direct,
1652400000,2022-05-13 00:00:00,0.007588,0.01,0.006292,0.008864,110515623677.12,3632959.56,direct,
1652403600,2022-05-13 01:00:00,0.006257,0.008455,0.005721,0.007588,261087151144.48,889885.87,direct,
1652407200,2022-05-13 02:00:00,0.0082,0.008478,0.006099,0.006257,220396945029.91,925563.72,direct,
1652410800,2022-05-13 03:00:00,0.01483,0.01579,0.008096,0.0082,150951251396.36,2590746.58,direct,
1652414400,2022-05-13 04:00:00,0.01148,0.01687,3.311e-05,0.01483,108409188469.11,3187541.09,direct,
1652418000,2022-05-13 05:00:00,0.009979,0.0119,0.009007,0.01148,39077702741.26,1340725.68,direct,
1652421600,2022-05-13 06:00:00,0.008351,0.01034,2.673e-05,0.009979,35769441190.87,1469879.63,direct,
1652425200,2022-05-13 07:00:00,0.006801,0.008775,0.006624,0.008351,26252319732.19,1038284.56,direct,
1652428800,2022-05-13 08:00:00,0.008949,0.008969,0.006616,0.006801,243907361286.41,2716987.28,direct,
1652432400,2022-05-13 09:00:00,0.008469,0.00935,0.006884,0.008949,90474764825.85,1269852.38,direct,
1652436000,2022-05-13 10:00:00,0.0112,0.01343,0.007901,0.008469,47690493144.48,855137.07,direct,
1652439600,2022-05-13 11:00:00,0.008695,0.01171,0.008079,0.0112,54115455684.93,1053424.33,direct,
1652443200,2022-05-13 12:00:00,0.009257,0.01214,0.007414,0.008695,53888554320.06,1352858.89,direct,
1652446800,2022-05-13 13:00:00,0.008158,0.01118,0.008158,0.009257,59192870768.78,1583018.88,direct,
1652450400,2022-05-13 14:00:00,4.709e-05,0.0137,3.194e-05,0.008158,203429996786.52,10677238.6,direct,
1652454000,2022-05-13 15:00:00,4.299e-05,0.01603,3.208e-05,4.709e-05,112415046179.85,5117825.95,direct,
1652457600,2022-05-13 16:00:00,0.0001233,0.02787,4.222e-05,4.299e-05,215650304929.06,17055324.15,direct,
1652461200,2022-05-13 17:00:00,6.285e-05,0.02871,5.323e-05,0.0001233,168199512010.71,15536376.6,direct,
1652464800,2022-05-13 18:00:00,0.01733,0.02677,5.925e-05,6.285e-05,66739927371.56,5242302.1,direct,
1652468400,2022-05-13 19:00:00,7.728e-05,0.02446,5.576e-05,0.01733,51931272502.91,3624728.41,direct,
1652472000,2022-05-13 20:00:00,8.572e-05,0.02469,7.074e-05,7.728e-05,42218510410.99,3439559.3,direct,
1652475600,2022-05-13 21:00:00,9.172e-05,0.02475,8.002e-05,8.572e-05,18767922545.2,1797751.92,direct,
1652479200,2022-05-13 22:00:00,0.0001097,0.02434,9.073e-05,9.172e-05,39172986492.56,4312023.66,direct,
1652482800,2022-05-13 23:00:00,0.0001191,0.01711,9.797e-05,0.0001097,33081515916.17,3760834.19,direct,
1652486400,2022-05-14 00:00:00,0.01714,0.01716,8.052e-05,0.0001191,50581101219.49,4807809.47,direct,
