"HolderAddress","Balance","PendingBalanceUpdate"
"0x4f90356dbc2286b4be8cf14738b05e3a9e9c0c7e","92.485","No"
"0x864b06003c7dbd1cf2a3cb13a358640b432f68f4","91.0694","No"
"0xba12222222228d8ba445958a75a0704d566bf2c8","90.095162488729723633","No"
"0xe4baf56063f6238210f45c160826e8a8cb2a8703","89.975214538923902776","No"
"0x108eb0d7e8cdc8a8d835c828c6b7d8cd348ddb38","89.804074019075528939","No"
"0x92cdef8d652d11374d4f9aada57338bbfd792721","85.7142","No"
"0x8a83716acd66d9e1fb18c9b79540b72e04f80ac0","85.658","No"
"0xa9f8144c42294a8335452ea941b288b596e942be","85.3665572692552933","No"
"0xc8570a5fc6a574ab75e11918d38a787182d794fa","84.145828687210180339","No"
"0xc713e5e149d5d0715dcd1c156a020976e7e56b88","84.118380580287753767","No"
"0x77ac63b763f324823d7ad06760cac321e85c8197","83.642","No"
"0x11d398c27140acd9f93658c124db86741697ab51","83.4078051","No"
"0xb2b07f391629d029cb3d557008254da997f0808b","83.17967173","No"
"0x3ad13e5ecec45874f55313b6760f44cec72bf4ac","82.245967962465968423","No"
"0x42fb663d8f6f2dc9d4f9cd5d57c11cbbebaae41c","81.84419862","No"
"0x6694744cf124aa04acc71ea4071c442bc33adaaa","81.18507874120493839","No"
"0x52ec7088b671a74ff8ba2ece3d4ff250516dbffa","81.058931","No"
"0xec5f2efa1a13c81179ddb0f0d4385e99e275994b","80.56089368","No"
"0xc0bb26dce66f9befd500eb75842506025956d584","80.399194845144245813","No"
"0x5d773a17acea39f8dbcaf63a802d0a2d96ced11c","80.00748688","No"
"0x84dd39e181485f2d5c4e4de503582e109b491870","79.9998","No"
"0x00a349d08700290a11cdc0c268307d912f781100","79.6306437984496","No"
"0x71518580f36feceffe0721f06ba4703218cd7f63","78.96708688","No"
"0x9b76815522a6d03d06769f3f79239ec8c9356d36","78.743695331443056946","No"
"0x03a8ca589cf45baf5c850332a4be50780935de08","77.999","No"
"0x90487897bc505e9619d32279ea1a5e899d18e3ba","77.738174387462978651","No"
"0x9ef05f7f6deb616fd37ac3c959a2ddd25a54e4f5","77.695907563986911222","No"
"0xe693cd414421237e3a6c613a0c75d41dd1921b61","77.154203832214903543","No"
"0x68a99f89e475a078645f4bac491360afe255dff1","76.527043147656616201","No"
"0x1411ce8d044eb98c39bf7528dd7241ea71ef33e7","76.24","No"
"0x0cc82652acb2f1aff2fad12aae6aeb8cda5f22cb","76.036711723334916348","No"
"0xe1673847ce40765cf3687fa7eccab0f8ac878e47","76.035089424268453455","No"
"0x5f55fbd22f83ba1685e7276f6d4f40a82b65012f","75.99927101","No"
"0xa8573f0463a88f91df9b2e50a387eae54053bb9e","75.57426687","No"
"0xf74ca34f947b69ab97ca41271e2006a8f7ad685f","74.69612536187535259","No"
"0x1157a2076b9bb22a85cc2c162f20fab3898f4101","74.581704567541587102","No"
"0x28802056d379fffab87bd566473313b06bedf359","74.07758502348302675","No"
"0x6e9f3042f7f7dbdd3b68fe52cb4c1f95c1e1d54b","72.915098959011305358","No"
"0xa948931c2942d283a2d17f0b65ddc4e541829d44","72.313645509828025082","No"
"0x4ef2ab73ef2214ebeba6f087a8dcf89731504301","71.139208488676777096","No"
"0x5100cdba84d86828395c6d2a67db2fca826fcf0b","71.10339837135782637","No"
"0x2a893180a8b3b6c34bf6cc01130b2fdf347e64dd","70.531301539999999996","No"
"0xf1548c17f950c6c2dc7a3119deabc5e26068523b","70.242167191222269309","No"
"0x8036776d6e2ca70cfc28b7a48ce0d6b337355be6","69.334747634398076902","No"
"0xd8d7ec08dd6ab1b7cdedce7e2d8035d636b61a45","69.237070597943966097","No"
"0x6019dba2406a9bdda24174124097f4d0ec1a0388","67.894764934911424937","No"
"0xa3a7b6f88361f48403514059f1f16c8e78d60eec","67.629389638662246011","No"
"0x781814773609d820ab3fff2f21624d93e9b4784a","67.342233949547767608","No"
"0x5c4440d385cc0a592adfc09ebd9ad04d3be2113e","66.8317784059505978","No"
"0xa6dae875f295780cc3833a86068d6320ec5a3069","65.52541063570748565","No"
"0x74f9644cee51d112588119de149bba2e90318b06","65.194475695796847265","No"
"0x669c1810b0eec5a39f81967623b4cce3d1b11910","65.139638041437955442","No"
"0x827ffd1cec05d70b74eec25d6ee36a194dd456cb","65","No"
"0x558edcba8df20fde940fba34efcdadfa8df12570","64.82325857","No"
"0x36756db0feb879f2f9ade7df3006df5c2dbaf5de","64.533767971026312711","No"
"0x9d11fd27af6b20052ac230636e50f3441f7f6df7","64.43266513","No"
"0x881e1bd47e50a3ad8e4bb8668f726a87ce31db86","64.021690328054112996","No"
"0x225d60117d51a81c98fd7e385d517b659b829409","63.677697603386594545","No"
"0x1b2dab8062e1d7ea6d6bff01ae297fede19e3125","62.800387023556065096","No"
"0x0887159799951fa038ecd71dd8335d2c19d14d29","61.780350824850445432","No"
"0x01f3a25bdad218ed2b5819169f35453d4d0bb578","61.003480341738425593","No"
"0x27b942bf7052cdf798b01c7d091bf096b6ccfbe2","60.8277","No"
"0x6d1bba438b37d926e9c31428ee2baedcd82bd941","60.79148588","No"
"0x93536860fcad0fa46f08290c4e570f7e9c4920ac","60.748740256743113336","No"
"0x660dff090d97fc6f644719758db155401fdb2ebe","60.612144759625206557","No"
"0xc841d667fbe2b3afc086187bfa07f74b919aadb3","60.44846","No"
"0x9f40440f65484c2b65cd484acfbc64367eb7a7ae","59.8616333780532005","No"
"0x07f44b5d1492d7c1abf74b37eb487aaef8bbd184","59.81776029","No"
"0xa562654f2fadab6880f2c21aad682e25f9a7f04a","58.746001073898038678","No"
"0x48cdb2914227fbc7f0259a5ea6de28e0b7f7b473","58.57759977","No"
"0xd53a7b5ae043033eef11c1153edd10a9e6675889","58.0171928","No"
"0xfc89c020774524c9d03bd5de48fec149b10bdec3","57.57467","No"
"0x74da1814f26645c655e1b5fe0e9a923ea7622906","57.461628137115846775","No"
"0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3","57.091644794974197762","No"
"0xcc8d652b2d02da8e7c48ce310a2a00bbeb51a72b","57.00049","No"
"0x30c9ce90a44c9cb16015f2de7f9c3d0364000fc8","56.75132212","No"
"0x69d0e167e2ac376d7f64bb254434712ec92613b6","56.23629348","No"
"0xd31d451075999b6168f24e11e0e77e5c17ea0efc","55.77057597","No"
"0x9dcbd16028ef57d5bdcfc17d120cfc68f080a8d2","54.752565933077794269","No"
"0xd7f4cc8d8c6715ead11ec5a8cc943d92741fda67","53.642989053853933339","No"
"0x33c16405eacb34764f43f85c91facbbe636c571a","53.547647184337823178","No"
"0x892698e432e0cfdeafc81baf029d5e23e6095611","53.359954824530055034","No"
"0x47afb5b0a420fe82d805c8225805a0ecc66b4f79","52.970210605180268909","No"
"0xc08819a08a45e799384d70b073764748d17da9e1","52.78957711","No"
"0x95b4ef2869ebd94beb4eee400a99824bf5dc325b","51.903632198223560083","No"
"0xb432863b3857f1cd9d78f5856a8d20693a8bc1a0","51.61665959","No"
"0xbf50784889374da1e2c3f2bdd7f4b3955fca5bff","51.179896035533894705","No"
"0x29420db52aa14f02557d08e2cee2d3fe3e80cbea","51.143815990866999448","No"
"0xb1ea9f76902b9545ef913485a89e835071e81955","51.075595601238173087","No"
"0x0c92f2fbac0fc4f58645534793145874c8a63b1d","50.99807104","No"
"0xd72b821a1d9180ffac4375f6f11142211a025657","50.553724168614829035","No"
"0xf93fe6fb004171c3d05c854e30a867e7056934f8","50.035055466449440576","No"
"0xf15b191bdcbf9b016b0bfb0d494a7f0902420e30","50.013381979783531252","No"
"0x076de9f3acd4e8ddb21c766d0ff4e244a2808226","50","No"
"0x0d86a9ecbc8d8eebbeae39d05190b3b3d768644a","49.94966775","No"
"0x16a5a726a6107dff570f26258d90173b3904d1fe","49.70883","No"
"0xbe8e3e3618f7474f8cb1d074a26affef007e98fb","49.558750155745281994","No"
