tx,block,actor,contract,event,status,day
0x0f2145d3801f6f82e1fa94f38b0d78a0184bebeefe6c216718c6e1054aaa99ce,17937708,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2023-08-17
0x4556fd194c4170e259733fc360a328c4a4d0932adf860330a65206963b001624,16750580,0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2023-03-03
0xfcacffec58ca8f7410674af4458016ac138a991294d78d77bcd7ab96e5793ebc,16196897,0x2C875e84F2f100562B44A3797Aed32Ffc162E91e,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-12-16
0xeb1410e3d40f59457f3d57acc64330803665b9fac7629e9363ce57ca1a8af42c,15935678,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-11-09
0x35ba20665e80309fa7646082c222f004241e0a123275401c9ade301efb5578b3,15930024,0x55b7969dCE63163d92E8b88722c216EC46c041f3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-11-09
0x4771bd2780da20e337df44e6f26d6f0405f9da01429cd5549f7a8c1b76ac665b,15930023,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-11-09
0x5b3a80b2f1d8eca2262cec66f8c54740e4cd98e82807d3eb3addeec3804152a9,14987417,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x3765a9fa1b7126e0dc6562e6b62e158f7f5d049469df5636beef2e227b53dd7f,14987416,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x65d910d4f40e6e521a64c8a08449f2d92ff2a72346faf5d63ea58e470f1ed8bf,14987416,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0xc0fb03a893f524e909c3b80b48bebfe9b9fbd4ff7f2fd3e5fcee2a54eab5a082,14987415,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
